table_name,key_type,column_name,key_position,references_table,references_column,match_rate_pct,proposal
sales_orders_raw,FOREIGN_KEY,salesperson_id,,employees,employee_id,100.0,FK candidate based on column meaning + actual value match.
shipment_lines_raw,PRIMARY_KEY,shipment_line_id,1,,,,Proposed from non-missing + uniqueness/grain heuristics.
shipment_lines_raw,FOREIGN_KEY,shipment_id,,shipments_raw,shipment_id,100.0,FK candidate based on column meaning + actual value match.
shipment_lines_raw,FOREIGN_KEY,sales_order_line_id,,sales_order_lines_raw,sales_order_line_id,100.0,FK candidate based on column meaning + actual value match.
shipment_lines_raw,FOREIGN_KEY,product_id,,products_raw,product_id,100.0,FK candidate based on column meaning + actual value match.
shipments_raw,PRIMARY_KEY,shipment_id,1,,,,Proposed from non-missing + uniqueness/grain heuristics.
shipments_raw,FOREIGN_KEY,sales_order_id,,sales_orders_raw,sales_order_id,100.0,FK candidate based on column meaning + actual value match.
shipments_raw,FOREIGN_KEY,warehouse_id,,warehouses,warehouse_id,100.0,FK candidate based on column meaning + actual value match.
supplier_invoices_raw,PRIMARY_KEY,supplier_invoice_id,1,,,,Proposed from non-missing + uniqueness/grain heuristics.
supplier_invoices_raw,FOREIGN_KEY,purchase_order_id,,purchase_orders_raw,purchase_order_id,100.0,FK candidate based on column meaning + actual value match.
supplier_invoices_raw,FOREIGN_KEY,supplier_id,,suppliers_raw,supplier_id,100.0,FK candidate based on column meaning + actual value match.
supplier_payments_raw,PRIMARY_KEY,supplier_payment_id,1,,,,Proposed from non-missing + uniqueness/grain heuristics.
supplier_payments_raw,FOREIGN_KEY,supplier_invoice_id,,supplier_invoices_raw,supplier_invoice_id,100.0,FK candidate based on column meaning + actual value match.
supplier_payments_raw,FOREIGN_KEY,supplier_id,,suppliers_raw,supplier_id,100.0,FK candidate based on column meaning + actual value match.
suppliers_raw,PRIMARY_KEY,supplier_id,1,,,,Proposed from non-missing + uniqueness/grain heuristics.
warehouses,PRIMARY_KEY,warehouse_id,1,,,,Proposed from non-missing + uniqueness/grain heuristics.
